document_date,violence,location,description,,,,
01/13/1763,Murder,,,,,,
02/08/1763,"""most cruelly beaten""","""the road between this place & Kinderhook""","""as they passed the Ind: who had given them the Road, they struck at him with a whip…in consequence of w^ch he had taken his Gun from his shoulder…Richard Allen immediately pulled off his Coat & with the Butt end of his whip beat the poor Indian in a most unmerciful manner being assisted by McKnight who had provided himself a stick""",,,,
03/12/1763,Murder,"""going from Ni[a]gra""","""If the Indians whome you Menshon to have Murdred two white Men going from Nigra Should Come this Way I will Indeavor to have them Secured""",,,,
03/12/1763,"""ill treatment""",Ticonderoga ,"*letter perished in fire, only information from Johnson Calendar* ",,,,
03/12/1763,"""drunken debauch""","""Conneshadagey""","*letter perished in fire, only information from Johnson Calendar* ",,,,
03/18/1763,Murder,Seneca country,"*letter perished in fire, only information from Johnson Calendar* ",,,,
04/20/1763,Murder,Detroit?,"""Mr. Claphan was a Trader Coming from the Detroit, with his two Panis Slaves, a Man & a Woman, who, by their own Confession, Murdered him, by Cutting of his Head, & Throwing his Body in a River: They were Delivered up by a Party of Indians, whom the Panis Charged as being the Principal Perpetrators of the Murder, but this the Indians Denied.""",,,,
05/02/1763,Murder & robbery,,"*letter perished in fire, only information from Johnson Calendar* ",,,,
05/16/1763,Murder,Albany,"*letter perished in fire, only information from Johnson Calendar*; ""Imploring intervention from S. William Johnson to procure a speedy trial or release from confinement, in which he is held on false charge of murder, describing his sufferings and attributing all to inhumanity of his brethren""",,,,
06/04/1763,"""Indian outbreak""",,"""Indian outbreak against back settlements,"" presumably Kentucky and Illinois country",,,,
06/05/1763,Skirmish,"""the big River where the Chippeways live""","""Six Boats had put ashore at the big River where the Chippeways live, and six or seven of the Crews standing together were fired upon out of the Bushes, which kill'd one Wendell a Trader, Wounded his Brother, and kill'd one of the Servants. Upon this one Van Veghten who was himself Wounded push'd off his Boat, as did likewise one Seager in another Boat, and on the 3d Van Veghten arrived at Little Niagara, and brought us this Account. He further says that after he push'd off, he saw the Indians painted Black and Red standing with the Rest of the people to the number of fourteen, but what the Indians did with them he knows not.""",,,,
06/05/1763,Skirmish,"""near the Detroit River""","""An Officer is just come in and Reporrt that he and his party About 100 men was Attack'd by Indians near the Detroit River. Only himself & about 30 or 40 men are Come here.""",,,,
06/06/1763,Skirmish,"""within 25 miles of [Detroit]""","""the Queens Independents upon their way to Detroit and a Serjeant & twenty Men of the 60. Regt. within 25 miles of that place at 11 oClock at Night were attacked by a party of Indians and out of 76 of the Independents only 36 Returned here."" Note: Lieutenant Cuyler's detachment, see pg. 138-44 Journal of Pontiac's Conspiracy, 1763, by Burton (Detroit, MI)",,,,
06/12/1763,"Skirmish, military action",Detroit,"""The Last part of the Intelligence seems to be greatly Exaggerated, as I Cannot Entertain a thought that they have been able to Cutt off the Garrison of the Detroit, or any of the Posts where Officers were Stationed.""",,,,
06/15/1763,"""barbarities""",Detroit region,"*letter perished in fire, only information from Johnson Calendar*; ""brought news of siege of Detroit by Indians, valiant defense by Major Gladwin, fidelity of the French, and Indian barbarities, and mentioning relief expedition from Niagara""",,,,
06/16/1763,Skirmish,Detroit region,"""Concerning the Motions of the Indians, that Way, they having Attacked a Detachment under the Command of Lieut. Cuyler of Hopkin's Rangers who were on their Route towards the Detroit and Obliged him to Return to Niagara with (I am Sorry to Say) too few of his men.""",,,,
06/19/1763,Siege,Detroit,"""a Schooner from Detroit with the news of its having been invested 36 days by 500 Indians, tho' to my account says 1600; that the same has been bravely defended, with small loss, with other particulars…Mr. Croghan assures me from the best authority, that the Indians already engaged are the Ottawaes, Chippewaes, and some tribes of the Delawares.""",,,,
06/22/1763,"Siege, Murder",Detroit,"""Received One from Major Gladwin, of the 14th. May, at which time the Detroit was Invested by a Large Body of Indians, who had in their Usual manner, Inhumanely Butchered those of our People who had been so Unfortunate as to Fall into their Hands…The Base & Treacherous manner in which those Savages Murdered Sir Robert Davers, Lieut: Robertson & all their Boats Crew...Immediately Commenced Hostilities, & Attacked the Fort.""",,,,
07/01/1763,"Siege, Murder","Detroit region, Ohio Country","""the Misisaga's and Chipeweghs (who I am well informed have been greatly encouraged thereto by some Officers sent amongst them from the Govr. of New Orleans) have lately endeavored to surprize the Detroit, and now closely blockade the same, they have likewise totally defeated a Detachment of 100 men who were on their way from Niagara for that place with a large quantity of provisions which has fallen into their hands. The Fort at Sandousky on Lake Erie has likewise been taken & destroyed and 'tis apprehended all the other outposts together with their garrisons have shared the same fate, Whilst in the mean time some Delawares on the Ohio have infested the communication to Fort Pitt &c. destroyed several settlements, murdered many Traders and others, spreading an universal pannic throughout the Frontiers.""",,,,
07/08/1763,Siege,Fort Venango,"""Yesterday I received an account from the Mohawks who were all at my house, that the Oneidas had sent to acquant them at Canajoharie, that the Garrison at Venango has been cut off.""",,,,
07/09/1763,Siege,Fort Presque Isle,"""I Wrote you the 7th. Instant, Acquainting you of the Intelligence I had Received from Fort Pitt of the Loss of Presqu' Isle, &ca.; And Since then I have had Nothing New from that Quarter.""",,,,
07/11/1763,Siege,Fort Venango,"""Since my last, a number of the Oneidas arrived here, and acquainted me with the manner in which Venango had been surprised, which was effected by the Indians entering the Fort as friends, after which they put the garrison to the sword…that after putting the Garrison to the Sword, they made the Officer write the reasons which induced them to act as they had done...After writing this, they put the Officer to death, and sent the paper with a party of Warriors then going towards Fort Pitt.""",,,,
07/13/1763,Siege,Fort Venango,"""The Senecas (who have long been much under the French direction, from their vicinity to Niagra &ca.) and of whose attachment to us I long doubted, have at length declared themselves against us, as I lately heard, and have taken Venango Fort.""",,,,
08/02/1763,attack,Fort Pitt,"""the messenger between them, John Hudson, has been detained by Indians, and mentioning an ineffectual attack by savages on Fort Pitt""",,,,
