doc_number,document_type,document_date,recipient,author,sent_from,duplicate_incident,initial_entry_line,violence,assailant,victim,location,loc_coordinates,description,incident_date,incident_date_exact,original_status,swjp_page,,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1,Letter,1763-01-13,S. William Johnson,Witham Marsh,New York,yes,2,Murder,Unknown Indigenous,,,"38.998211, -72.224698",,,,original,15,*many lines missing,0,0,0,,,,,,,,,,,
2,Letter,1763-02-08,S. William Johnson,David Van Der Heyden,*Albany,no,,"""most cruelly beaten""","Richard Allen, ""one McKnight a Blacksmith""",Unknown Indigenous,"""the road between this place & Kinderhook""","42.525099, -73.718926","""as they passed the Ind: who had given them the Road, they struck at him with a whip…in consequence of w^ch he had taken his Gun from his shoulder…Richard Allen immediately pulled off his Coat & with the Butt end of his whip beat the poor Indian in a most unmerciful manner being assisted by McKnight who had provided himself a stick""",,,reprint,43-44,*assumed location of letter based on following entries,42.524899,-73.719598,0.99,rooftop,1562,Carney Rd,,,Castleton On Hudson,NY,Rensselaer County,12033,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
3,Letter,1763-03-12,S. William Johnson,George Croghan,Fort Pitt,yes,2,Murder,Unknown Indigenous,"""two white Men""","""going from Ni[a]gra""","38.998211, -72.224698","""If the Indians whome you Menshon to have Murdred two white Men going from Nigra Should Come this Way I will Indeavor to have them Secured""",,,original,62,,0,0,0,,,,,,,,,,,
4,Letter,1763-03-12,S. William Johnson,Cap. John Lottridge,Montreal,no,,"""ill treatment""",Officer,"""Caghnawagneys""",Ticonderoga ,"43.848611, -73.423056","*letter perished in fire, only information from Johnson Calendar* ",,,missing,63,,43.848437,-73.422931,1,rooftop,128,Montcalm St,,,Ticonderoga,NY,Essex County,12883,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
4,Letter,1763-03-12,S. William Johnson,Cap. John Lottridge,Montreal,no,,"""drunken debauch""","""sutler""",Unknown Indigenous,"""Conneshadagey""","38.998211, -72.224698","*letter perished in fire, only information from Johnson Calendar* ",,,missing,63,,0,0,0,,,,,,,,,,,
5,Minutes,1763-03-18,S. William Johnson,"""Onondagaes""",,yes,2,Murder,Unknown Indigenous,two men,Seneca country,"38.998211, -72.224698","*letter perished in fire, only information from Johnson Calendar* ",,,missing,64,,0,0,0,,,,,,,,,,,
6,Letter,1763-04-20,Gen. Jeffery Amherst,"Major Gladwin, Commanding Officer at the Detroit [Henry Gladwin]",Detroit,no,,Murder,"""two Panis slaves""","Mr. Claphan, a Trader",Detroit?,"42.329658, -83.047574","""Mr. Claphan was a Trader Coming from the Detroit, with his two Panis Slaves, a Man & a Woman, who, by their own Confession, Murdered him, by Cutting of his Head, & Throwing his Body in a River: They were Delivered up by a Party of Indians, whom the Panis Charged as being the Principal Perpetrators of the Murder, but this the Indians Denied.""","""last Summer"" (1762)",1762-07-01,original,97-96,,42.329717,-83.047674,1,rooftop,144,W Congress St,,,Detroit,MI,Wayne County,48226,US,Semcog
7,Letter,1763-05-02,S. William Johnson,Richard Allen,Fort Stanwix,no,,Murder & robbery,Unknown Indigenous,,,"38.998211, -72.224698","*letter perished in fire, only information from Johnson Calendar* ",,,missing,107,,0,0,0,,,,,,,,,,,
8,Letter,1763-05-16,S. William Johnson,Abraham Wnupas ,Albany,no,,Murder,Abraham Wnupas,,Albany,"42.6525, -73.757222","*letter perished in fire, only information from Johnson Calendar*; ""Imploring intervention from S. William Johnson to procure a speedy trial or release from confinement, in which he is held on false charge of murder, describing his sufferings and attributing all to inhumanity of his brethren""",,,missing,118,,42.651193,-73.756591,0.98,rooftop,156,State St,,,Albany,NY,Albany County,12207,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
9,Letter,1763-06-04,S. William Johnson,Elinora Cummins,Frankfort (Kentucky),no,,"""Indian outbreak""",Unknown Indigenous,"""back settlements""",,"38.998211, -72.224698","""Indian outbreak against back settlements,"" presumably Kentucky and Illinois country",,,missing,133-34,,0,0,0,,,,,,,,,,,
